EventID,VehicleType,Latitude,Longitude,EquipmentID,BusID,BusLine,id,tripId,startTime,StartDate,routeId,speed,currentStopSequence,currentStatus,timestamp,occupancyStatus
2,Bus,45.5263908,-73.5866337,Bus 51 O3,3,Bus 51 O,40066,263867211,,,319,38.05978836,43,STOPPED_AT,,FEW_SEATS_AVAILABLE
3,Bus,45.4958305,-73.5795593,Bus 165 N1,1,Bus 165 N,40064,263867215,,,437,23.69290607,8,STOPPED_AT,,MANY_SEATS_AVAILABLE
3,Bus,45.5156247,-73.6427844,Bus 165 S13,13,Bus 165 S,40067,263867218,,,129,11.33657101,50,STOPPED_AT,,FEW_SEATS_AVAILABLE
3,Bus,45.4603903,-73.6599129,Bus 420 E2,2,Bus 420 E,40065,263867216,,,456,37.12789049,57,STOPPED_AT,,STANDING_ROOM_ONLY
3,Bus,45.500226,-73.5712016,Bus 420 O14,14,Bus 420 O,40068,263867219,,,150,9.465844062,77,STOPPED_AT,,FEW_SEATS_AVAILABLE
3,Bus,45.4544337,-73.6419287,Bus 51 E15,15,Bus 51 E,40069,263867220,,,326,41.75416726,64,STOPPED_AT,,FEW_SEATS_AVAILABLE
3,Bus,45.52647,-73.5868254,Bus 51 O3,3,Bus 51 O,40066,263867217,,,408,35.04749501,57,STOPPED_AT,,FEW_SEATS_AVAILABLE
4,Bus,45.4959922,-73.5799241,Bus 165 N1,1,Bus 165 N,40064,263867221,,,232,12.34779749,76,IN_TRANSIT_TO,,MANY_SEATS_AVAILABLE
4,Bus,45.5153841,-73.6427629,Bus 165 S13,13,Bus 165 S,40067,263867224,,,256,47.7562938,28,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
4,Bus,45.4616883,-73.6577082,Bus 420 E2,2,Bus 420 E,40065,263867222,,,185,48.15999443,53,IN_TRANSIT_TO,,STANDING_ROOM_ONLY
4,Bus,45.5007637,-73.5722476,Bus 420 O14,14,Bus 420 O,40068,263867225,,,254,14.10154264,33,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
4,Bus,45.4545447,-73.6418295,Bus 51 E15,15,Bus 51 E,40069,263867226,,,393,36.14523951,60,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
4,Bus,45.5265809,-73.5870641,Bus 51 O3,3,Bus 51 O,40066,263867223,,,444,58.57992715,19,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
5,Bus,45.496105,-73.5802621,Bus 165 N1,1,Bus 165 N,40064,263867227,,,309,46.65994694,47,IN_TRANSIT_TO,,MANY_SEATS_AVAILABLE
5,Bus,45.5150533,-73.6429667,Bus 165 S13,13,Bus 165 S,40067,263867230,,,103,24.73063262,6,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
5,Bus,45.4627268,-73.655895,Bus 420 E2,2,Bus 420 E,40065,263867228,,,220,38.89560694,71,IN_TRANSIT_TO,,STANDING_ROOM_ONLY
5,Bus,45.5011622,-73.5730952,Bus 420 O14,14,Bus 420 O,40068,263867231,,,267,35.67856405,13,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
5,Bus,45.4546689,-73.6417329,Bus 51 E15,15,Bus 51 E,40069,263867232,,,206,17.82284568,17,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
5,Bus,45.5266843,-73.5872935,Bus 51 O3,3,Bus 51 O,40066,263867229,,,248,3.718256802,35,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
6,Bus,45.4962366,-73.5806859,Bus 165 N1,1,Bus 165 N,40064,263867233,,,82,20.27278709,58,IN_TRANSIT_TO,,MANY_SEATS_AVAILABLE
6,Bus,45.5147752,-73.643117,Bus 165 S13,13,Bus 165 S,40067,263867236,,,18,16.40801054,36,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
6,Bus,45.4639383,-73.6549509,Bus 420 E2,2,Bus 420 E,40065,263867234,,,86,44.10824937,75,IN_TRANSIT_TO,,STANDING_ROOM_ONLY
6,Bus,45.5016172,-73.574034,Bus 420 O14,14,Bus 420 O,40068,263867237,,,66,29.30205329,41,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
6,Bus,45.4548232,-73.6416042,Bus 51 E15,15,Bus 51 E,40069,263867238,,,382,21.97539987,27,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
6,Bus,45.5267726,-73.5875067,Bus 51 O3,3,Bus 51 O,40066,263867235,,,171,1.983095397,52,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
7,Bus,45.4964885,-73.5815066,Bus 165 N1,1,Bus 165 N,40064,263867239,,,379,50.55647644,19,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
7,Bus,45.5143842,-73.6431599,Bus 165 S13,13,Bus 165 S,40067,263867242,,,186,13.90313483,60,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
7,Bus,45.4659549,-73.6532986,Bus 420 E2,2,Bus 420 E,40065,263867240,,,473,39.04518567,31,IN_TRANSIT_TO,,STANDING_ROOM_ONLY
7,Bus,45.5020308,-73.5736156,Bus 420 O14,14,Bus 420 O,40068,263867243,,,477,41.91765086,24,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
7,Bus,45.4550038,-73.641454,Bus 51 E15,15,Bus 51 E,40069,263867244,,,116,10.56061001,10,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
7,Bus,45.5266213,-73.5876328,Bus 51 O3,3,Bus 51 O,40066,263867241,,,166,17.02849094,9,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
8,Bus,45.4965449,-73.5816246,Bus 165 N1,1,Bus 165 N,40064,263867245,,,151,52.67962168,36,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
8,Bus,45.5139933,-73.6431384,Bus 165 S13,13,Bus 165 S,40067,263867248,,,96,52.68199331,61,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
8,Bus,45.4673281,-73.6523438,Bus 420 E2,2,Bus 420 E,40065,263867246,,,245,35.79343136,24,IN_TRANSIT_TO,,STANDING_ROOM_ONLY
8,Bus,45.5025308,-73.5731167,Bus 420 O14,14,Bus 420 O,40068,263867249,,,455,14.49739106,77,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
8,Bus,45.4551713,-73.6413199,Bus 51 E15,15,Bus 51 E,40069,263867250,,,231,47.00089381,2,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
8,Bus,45.5265001,-73.5877334,Bus 51 O3,3,Bus 51 O,40066,263867247,,,178,41.28133102,27,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
9,Bus,45.49656,-73.582027,Bus 165 N1,1,Bus 165 N,40064,263867251,,,312,5.304874113,53,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
9,Bus,45.5135948,-73.643117,Bus 165 S13,13,Bus 165 S,40067,263867254,,,8,41.43106604,76,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
9,Bus,45.4678247,-73.6517,Bus 420 E2,2,Bus 420 E,40065,263867252,,,258,25.22593825,28,IN_TRANSIT_TO,,STANDING_ROOM_ONLY
9,Bus,45.5030534,-73.5726285,Bus 420 O14,14,Bus 420 O,40068,263867255,,,110,22.78638054,62,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
9,Bus,45.4553688,-73.6411777,Bus 51 E15,15,Bus 51 E,40069,263867256,,,206,20.91886764,30,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
9,Bus,45.5263178,-73.5879077,Bus 51 O3,3,Bus 51 O,40066,263867253,,,255,56.36827193,24,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
10,Bus,45.4965223,-73.5826707,Bus 165 N1,1,Bus 165 N,40064,263867257,,,443,4.923569764,27,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
10,Bus,45.5129633,-73.643074,Bus 165 S13,13,Bus 165 S,40067,263867260,,,360,1.236770889,27,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
10,Bus,45.4686223,-73.6503965,Bus 420 E2,2,Bus 420 E,40065,263867258,,,139,6.592661149,15,IN_TRANSIT_TO,,STANDING_ROOM_ONLY
10,Bus,45.5037076,-73.571974,Bus 420 O14,14,Bus 420 O,40068,263867261,,,17,5.714490178,70,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
10,Bus,45.4555607,-73.6410168,Bus 51 E15,15,Bus 51 E,40069,263867262,,,4,2.321472781,13,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
10,Bus,45.5260876,-73.5881062,Bus 51 O3,3,Bus 51 O,40066,263867259,,,161,20.83639665,16,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
11,Bus,45.4964359,-73.5839796,Bus 165 N1,1,Bus 165 N,40064,263867263,,,444,17.18794517,63,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
11,Bus,45.5121664,-73.6429667,Bus 165 S13,13,Bus 165 S,40067,263867266,,,398,52.84791721,47,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
11,Bus,45.4692091,-73.6499566,Bus 420 E2,2,Bus 420 E,40065,263867264,,,500,57.04352212,80,IN_TRANSIT_TO,,STANDING_ROOM_ONLY
11,Bus,45.5040723,-73.5716146,Bus 420 O14,14,Bus 420 O,40068,263867267,,,324,19.2546792,19,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
11,Bus,45.4557696,-73.6408478,Bus 51 E15,15,Bus 51 E,40069,263867268,,,130,42.36089482,72,IN_TRANSIT_TO,,MANY_SEATS_AVAILABLE
11,Bus,45.5259091,-73.5882725,Bus 51 O3,3,Bus 51 O,40066,263867265,,,320,50.99656778,68,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
12,Bus,45.4963832,-73.5845858,Bus 165 N1,1,Bus 165 N,40064,263867269,,,382,39.68129994,37,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
12,Bus,45.511189,-73.6428595,Bus 165 S13,13,Bus 165 S,40067,263867272,,,356,18.9419624,5,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
12,Bus,45.470033,-73.6495864,Bus 420 E2,2,Bus 420 E,40065,263867270,,,471,36.76429834,49,IN_TRANSIT_TO,,STANDING_ROOM_ONLY
12,Bus,45.5037866,-73.5710084,Bus 420 O14,14,Bus 420 O,40068,263867273,,,205,48.39551678,51,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
12,Bus,45.4559126,-73.6407325,Bus 51 E15,15,Bus 51 E,40069,263867274,,,329,48.4201641,43,IN_TRANSIT_TO,,MANY_SEATS_AVAILABLE
12,Bus,45.5257052,-73.5884468,Bus 51 O3,3,Bus 51 O,40066,263867271,,,29,50.74090408,34,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
13,Bus,45.4963531,-73.5851866,Bus 165 N1,1,Bus 165 N,40064,263867275,,,165,20.99257112,15,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
13,Bus,45.509971,-73.6427522,Bus 165 S13,13,Bus 165 S,40067,263867278,,,269,23.18808684,8,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
13,Bus,45.4708268,-73.6487979,Bus 420 E2,2,Bus 420 E,40065,263867276,,,342,25.93607186,59,IN_TRANSIT_TO,,STANDING_ROOM_ONLY
13,Bus,45.5033241,-73.5700428,Bus 420 O14,14,Bus 420 O,40068,263867279,,,122,7.08361512,12,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
13,Bus,45.4560443,-73.6406305,Bus 51 E15,15,Bus 51 E,40069,263867280,,,63,55.38455412,61,IN_TRANSIT_TO,,MANY_SEATS_AVAILABLE
13,Bus,45.5255258,-73.5886158,Bus 51 O3,3,Bus 51 O,40066,263867277,,,443,30.25244599,67,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
14,Bus,45.4963193,-73.5858572,Bus 165 N1,1,Bus 165 N,40064,263867281,,,136,11.97873323,79,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
14,Bus,45.5087454,-73.6426127,Bus 165 S13,13,Bus 165 S,40067,263867284,,,251,32.70240419,27,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
14,Bus,45.4716243,-73.6477894,Bus 420 E2,2,Bus 420 E,40065,263867282,,,241,52.9273474,49,IN_TRANSIT_TO,,STANDING_ROOM_ONLY
14,Bus,45.5027827,-73.5688734,Bus 420 O14,14,Bus 420 O,40068,263867285,,,478,2.685698112,29,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
14,Bus,45.4562475,-73.6404616,Bus 51 E15,15,Bus 51 E,40069,263867286,,,225,28.51218888,52,IN_TRANSIT_TO,,MANY_SEATS_AVAILABLE
14,Bus,45.5253867,-73.5887378,Bus 51 O3,3,Bus 51 O,40066,263867283,,,322,54.13064161,58,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
15,Bus,45.4963569,-73.5864848,Bus 165 N1,1,Bus 165 N,40064,263867287,,,435,41.75419947,62,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
15,Bus,45.5079409,-73.6425269,Bus 165 S13,13,Bus 165 S,40067,263867290,,,28,48.6472577,68,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
15,Bus,45.4707854,-73.6456919,Bus 420 E2,2,Bus 420 E,40065,263867288,,,250,56.05504005,33,IN_TRANSIT_TO,,STANDING_ROOM_ONLY
15,Bus,45.5019255,-73.5671246,Bus 420 O14,14,Bus 420 O,40068,263867291,,,53,26.74185283,43,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
15,Bus,45.4565316,-73.6402363,Bus 51 E15,15,Bus 51 E,40069,263867292,,,242,55.45950712,70,IN_TRANSIT_TO,,MANY_SEATS_AVAILABLE
15,Bus,45.5252392,-73.5888854,Bus 51 O3,3,Bus 51 O,40066,263867289,,,99,44.53064889,57,IN_TRANSIT_TO,,MANY_SEATS_AVAILABLE
16,Bus,45.4964547,-73.5874826,Bus 165 N1,1,Bus 165 N,40064,263867293,,,27,45.97992638,59,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
16,Bus,45.5073244,-73.6424732,Bus 165 S13,13,Bus 165 S,40067,263867296,,,332,33.96166537,55,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
16,Bus,45.4693935,-73.6420602,Bus 420 E2,2,Bus 420 E,40065,263867294,,,43,45.55055563,3,IN_TRANSIT_TO,,STANDING_ROOM_ONLY
16,Bus,45.5008276,-73.565011,Bus 420 O14,14,Bus 420 O,40068,263867297,,,292,53.40071808,9,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
16,Bus,45.4565692,-73.6403033,Bus 51 E15,15,Bus 51 E,40069,263867298,,,111,35.2804156,50,IN_TRANSIT_TO,,MANY_SEATS_AVAILABLE
16,Bus,45.5250851,-73.5890248,Bus 51 O3,3,Bus 51 O,40066,263867295,,,302,46.26595457,30,IN_TRANSIT_TO,,MANY_SEATS_AVAILABLE
17,Bus,45.4963607,-73.5878527,Bus 165 N1,1,Bus 165 N,40064,263867299,,,339,35.31262769,1,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
17,Bus,45.5066251,-73.6423981,Bus 165 S13,13,Bus 165 S,40067,263867302,,,232,32.81388717,9,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
17,Bus,45.4682498,-73.6391473,Bus 420 E2,2,Bus 420 E,40065,263867300,,,7,12.18101361,8,IN_TRANSIT_TO,,STANDING_ROOM_ONLY
17,Bus,45.4997147,-73.5633481,Bus 420 O14,14,Bus 420 O,40068,263867303,,,465,8.091958436,65,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
17,Bus,45.4566238,-73.6404455,Bus 51 E15,15,Bus 51 E,40069,263867304,,,267,7.151681224,42,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
17,Bus,45.5249611,-73.5891375,Bus 51 O3,3,Bus 51 O,40066,263867301,,,391,5.101582401,55,IN_TRANSIT_TO,,MANY_SEATS_AVAILABLE
18,Bus,45.4961238,-73.5882336,Bus 165 N1,1,Bus 165 N,40064,263867305,,,268,48.1880478,80,IN_TRANSIT_TO,,MANY_SEATS_AVAILABLE
18,Bus,45.5062191,-73.6423552,Bus 165 S13,13,Bus 165 S,40067,263867308,,,434,22.11930303,14,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
18,Bus,45.4670948,-73.6361325,Bus 420 E2,2,Bus 420 E,40065,263867306,,,144,6.461362401,31,IN_TRANSIT_TO,,STANDING_ROOM_ONLY
18,Bus,45.4991807,-73.5639811,Bus 420 O14,14,Bus 420 O,40068,263867309,,,148,23.61237463,7,IN_TRANSIT_TO,,STANDING_ROOM_ONLY
18,Bus,45.4567009,-73.6406842,Bus 51 E15,15,Bus 51 E,40069,263867310,,,117,9.112202025,73,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
18,Bus,45.524823,-73.5892515,Bus 51 O3,3,Bus 51 O,40066,263867307,,,482,40.00166262,15,IN_TRANSIT_TO,,MANY_SEATS_AVAILABLE
19,Bus,45.495917,-73.5886252,Bus 165 N1,1,Bus 165 N,40064,263867311,,,404,8.775448974,79,IN_TRANSIT_TO,,MANY_SEATS_AVAILABLE
19,Bus,45.5058807,-73.642382,Bus 165 S13,13,Bus 165 S,40067,263867314,,,54,15.32280195,56,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
19,Bus,45.4664139,-73.634389,Bus 420 E2,2,Bus 420 E,40065,263867312,,,451,18.8298784,57,IN_TRANSIT_TO,,STANDING_ROOM_ONLY
19,Bus,45.4986919,-73.5646141,Bus 420 O14,14,Bus 420 O,40068,263867315,,,417,24.4541786,34,IN_TRANSIT_TO,,STANDING_ROOM_ONLY
19,Bus,45.4567818,-73.6409095,Bus 51 E15,15,Bus 51 E,40069,263867316,,,364,8.84147873,3,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
19,Bus,45.5246548,-73.589403,Bus 51 O3,3,Bus 51 O,40066,263867313,,,263,36.64188351,32,IN_TRANSIT_TO,,MANY_SEATS_AVAILABLE
20,Bus,45.4957553,-73.5889256,Bus 165 N1,1,Bus 165 N,40064,263867317,,,274,18.10423184,70,IN_TRANSIT_TO,,MANY_SEATS_AVAILABLE
20,Bus,45.5054822,-73.642323,Bus 165 S13,13,Bus 165 S,40067,263867320,,,126,55.16180736,39,IN_TRANSIT_TO,,STANDING_ROOM_ONLY
20,Bus,45.4656652,-73.6331874,Bus 420 E2,2,Bus 420 E,40065,263867318,,,82,0.18447412,43,IN_TRANSIT_TO,,MANY_SEATS_AVAILABLE
20,Bus,45.4975714,-73.5659444,Bus 420 O14,14,Bus 420 O,40068,263867321,,,403,6.039294141,57,IN_TRANSIT_TO,,STANDING_ROOM_ONLY
20,Bus,45.4568777,-73.6411241,Bus 51 E15,15,Bus 51 E,40069,263867322,,,486,0.119777659,16,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
20,Bus,45.5245101,-73.5895291,Bus 51 O3,3,Bus 51 O,40066,263867319,,,364,2.279162225,29,IN_TRANSIT_TO,,MANY_SEATS_AVAILABLE
21,Bus,45.4955108,-73.5893601,Bus 165 N1,1,Bus 165 N,40064,263867323,,,137,43.87386715,36,IN_TRANSIT_TO,,MANY_SEATS_AVAILABLE
21,Bus,45.505392,-73.6421674,Bus 165 S13,13,Bus 165 S,40067,263867326,,,276,13.71955757,15,IN_TRANSIT_TO,,STANDING_ROOM_ONLY
21,Bus,45.4652551,-73.6323935,Bus 420 E2,2,Bus 420 E,40065,263867324,,,361,53.39790061,56,IN_TRANSIT_TO,,MANY_SEATS_AVAILABLE
21,Bus,45.4968871,-73.5667384,Bus 420 O14,14,Bus 420 O,40068,263867327,,,312,24.6757845,37,IN_TRANSIT_TO,,STANDING_ROOM_ONLY
21,Bus,45.4569982,-73.6414298,Bus 51 E15,15,Bus 51 E,40069,263867328,,,139,14.69301926,3,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
21,Bus,45.5243626,-73.5896713,Bus 51 O3,3,Bus 51 O,40066,263867325,,,128,58.57322978,42,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
22,Bus,45.4952664,-73.5898536,Bus 165 N1,1,Bus 165 N,40064,263867329,,,211,54.05125005,63,IN_TRANSIT_TO,,MANY_SEATS_AVAILABLE
22,Bus,45.5052754,-73.6419582,Bus 165 S13,13,Bus 165 S,40067,263867332,,,66,27.45059565,4,IN_TRANSIT_TO,,STANDING_ROOM_ONLY
22,Bus,45.4644951,-73.6307091,Bus 420 E2,2,Bus 420 E,40065,263867330,,,211,29.20872446,26,IN_TRANSIT_TO,,MANY_SEATS_AVAILABLE
22,Bus,45.4961952,-73.5653865,Bus 420 O14,14,Bus 420 O,40068,263867333,,,16,56.74554902,20,IN_TRANSIT_TO,,STANDING_ROOM_ONLY
22,Bus,45.4571054,-73.6417115,Bus 51 E15,15,Bus 51 E,40069,263867334,,,39,12.68679072,77,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
22,Bus,45.524263,-73.5897517,Bus 51 O3,3,Bus 51 O,40066,263867331,,,249,29.47302687,34,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
23,Bus,45.4951311,-73.5902238,Bus 165 N1,1,Bus 165 N,40064,263867335,,,10,44.30129401,51,IN_TRANSIT_TO,,MANY_SEATS_AVAILABLE
23,Bus,45.5051363,-73.6416578,Bus 165 S13,13,Bus 165 S,40067,263867338,,,239,20.99761506,29,IN_TRANSIT_TO,,STANDING_ROOM_ONLY
23,Bus,45.4637351,-73.6289495,Bus 420 E2,2,Bus 420 E,40065,263867336,,,240,48.88921597,48,IN_TRANSIT_TO,,MANY_SEATS_AVAILABLE
23,Bus,45.4953755,-73.5661697,Bus 420 O14,14,Bus 420 O,40068,263867339,,,89,22.70710622,9,IN_TRANSIT_TO,,STANDING_ROOM_ONLY
23,Bus,45.4572427,-73.642087,Bus 51 E15,15,Bus 51 E,40069,263867340,,,251,15.09176883,28,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
23,Bus,45.5241803,-73.5898322,Bus 51 O3,3,Bus 51 O,40066,263867337,,,107,19.43007979,48,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
24,Bus,45.4950671,-73.5905832,Bus 165 N1,1,Bus 165 N,40064,263867341,,,7,37.23693697,18,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
24,Bus,45.5049934,-73.6413252,Bus 165 S13,13,Bus 165 S,40067,263867344,,,39,56.77953528,70,IN_TRANSIT_TO,,STANDING_ROOM_ONLY
24,Bus,45.4639759,-73.6284989,Bus 420 E2,2,Bus 420 E,40065,263867342,,,219,56.69677155,33,IN_TRANSIT_TO,,MANY_SEATS_AVAILABLE
24,Bus,45.4941722,-73.5672641,Bus 420 O14,14,Bus 420 O,40068,263867345,,,163,22.12591902,6,IN_TRANSIT_TO,,STANDING_ROOM_ONLY
24,Bus,45.4573688,-73.6423901,Bus 51 E15,15,Bus 51 E,40069,263867346,,,35,21.20923701,12,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
24,Bus,45.5239642,-73.5900173,Bus 51 O3,3,Bus 51 O,40066,263867343,,,438,58.23017598,58,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
25,Bus,45.4950483,-73.5910177,Bus 165 N1,1,Bus 165 N,40064,263867347,,,43,31.00144652,34,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
25,Bus,45.5048205,-73.640939,Bus 165 S13,13,Bus 165 S,40067,263867350,,,179,21.59430817,70,IN_TRANSIT_TO,,STANDING_ROOM_ONLY
25,Bus,45.4644725,-73.627528,Bus 420 E2,2,Bus 420 E,40065,263867348,,,408,0.425403459,13,IN_TRANSIT_TO,,MANY_SEATS_AVAILABLE
25,Bus,45.4932697,-73.5681653,Bus 420 O14,14,Bus 420 O,40068,263867351,,,366,12.7532409,13,IN_TRANSIT_TO,,STANDING_ROOM_ONLY
25,Bus,45.4574873,-73.6426932,Bus 51 E15,15,Bus 51 E,40069,263867352,,,309,5.381703923,55,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
25,Bus,45.5237923,-73.5901742,Bus 51 O3,3,Bus 51 O,40066,263867349,,,142,52.13203722,79,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
26,Bus,45.4950671,-73.5918009,Bus 165 N1,1,Bus 165 N,40064,263867353,,,96,32.17141398,25,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
26,Bus,45.5046513,-73.640542,Bus 165 S13,13,Bus 165 S,40067,263867356,,,493,34.98143893,62,IN_TRANSIT_TO,,STANDING_ROOM_ONLY
26,Bus,45.4648676,-73.6267877,Bus 420 E2,2,Bus 420 E,40065,263867354,,,187,28.26391468,21,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
26,Bus,45.491412,-73.569957,Bus 420 O14,14,Bus 420 O,40068,263867357,,,400,38.89029566,40,IN_TRANSIT_TO,,STANDING_ROOM_ONLY
26,Bus,45.4576077,-73.6430016,Bus 51 E15,15,Bus 51 E,40069,263867358,,,484,37.24094208,39,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
26,Bus,45.5236795,-73.5902855,Bus 51 O3,3,Bus 51 O,40066,263867355,,,392,15.94046262,36,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
27,Bus,45.4950972,-73.5924017,Bus 165 N1,1,Bus 165 N,40064,263867359,,,397,51.71731126,66,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
27,Bus,45.504422,-73.6400539,Bus 165 S13,13,Bus 165 S,40067,263867362,,,387,18.38121544,10,IN_TRANSIT_TO,,STANDING_ROOM_ONLY
27,Bus,45.4658759,-73.6248565,Bus 420 E2,2,Bus 420 E,40065,263867360,,,96,22.39582376,37,IN_TRANSIT_TO,,FEW_SEATS_AVAILABLE
